week,search_query,search_query_score,search_quey_volume,imp_total_count,imp_ASIN_count,imp_ASIN_share,clk_total_count,clk_click_rate,clk_ASIN_count,clk_ASIN_share,cart_total_count,cart_add_rate,cart_ASIN_count,cart_ASIN_share,pur_total_count,pur_purchase_rate,pur_ASIN_count,pur_ASIN_share
Week 3,sensory toys,1,35253,815103,9794,1.2,9358,26.55,80,0.85,2899,8.22,45,1.55,526,1.49,11,2.09
Week 3,sensory toys for autistic children,2,23354,509901,2677,0.53,7784,33.33,39,0.5,2086,8.93,26,1.25,325,1.39,9,2.77
Week 3,sensory toys for kids 5-7,3,6531,141188,1959,1.39,1812,27.74,17,0.94,550,8.42,11,2,116,1.78,4,3.45
Week 3,autism sensory toys,4,6932,149596,2073,1.39,1829,26.38,29,1.59,559,8.06,11,1.97,95,1.37,3,3.16
Week 3,autism sensory products,5,4218,85699,1329,1.55,1173,27.81,11,0.94,286,6.78,5,1.75,16,0.38,1,6.25
Week 3,toys for autistic children age 5-7,6,1642,35839,266,0.74,552,33.62,4,0.72,150,9.14,3,2,30,1.83,3,10
Week 3,bunmo textured stretchy strings 6pk | calming & fun monkey noodles | super sensory stretchy worms for stress relief & stimulation | popular autism toys,7,4,159,5,3.14,4,100,4,100,4,100,4,100,3,75,3,100
Week 3,autism toys,8,3477,75745,800,1.06,857,24.65,5,0.58,215,6.18,3,1.4,27,0.78,2,7.41
Week 3,monkey noodles,9,2887,71103,870,1.22,1216,42.12,8,0.66,481,16.66,5,1.04,140,4.85,1,0.71
Week 3,autistic toys for boys 5-7,10,1173,24275,457,1.88,359,30.61,6,1.67,99,8.44,4,4.04,18,1.53,2,11.11
Week 3,b082d7wvt8,11,5,58,5,8.62,3,60,3,100,3,60,3,100,3,60,3,100
Week 3,down syndrome gifts for kids,12,496,11213,232,2.07,133,26.81,6,4.51,37,7.46,4,10.81,6,1.21,1,16.67
Week 3,toys for kids with autism,13,773,17033,202,1.19,235,30.4,4,1.7,75,9.7,4,5.33,10,1.29,1,10
Week 3,bunmo textured stretchy strings,14,4,109,5,4.59,3,75,2,66.67,3,75,2,66.67,2,50,2,100
Week 3,autism toys for kids 5-7,15,2797,58403,362,0.62,866,30.96,3,0.35,250,8.94,3,1.2,36,1.29,1,2.78
Week 3,fidget toys for toddlers 1-3,16,2745,57638,143,0.25,1012,36.87,5,0.49,333,12.13,3,0.9,69,2.51,1,1.45
Week 3,stretchy string,17,648,15514,577,3.72,239,36.88,11,4.6,92,14.2,3,3.26,19,2.93,0,0
Week 3,calm corner items,18,545,13156,117,0.89,276,50.64,3,1.09,102,18.72,3,2.94,10,1.83,1,10
Week 3,cerebral palsy toys,19,391,7945,77,0.97,115,29.41,2,1.74,36,9.21,2,5.56,1,0.26,1,100
Week 3,stretchy sensory toys,20,134,2660,75,2.82,51,38.06,2,3.92,23,17.16,2,8.7,2,1.49,1,50
Week 3,stretchy fidget,21,109,2698,126,4.67,52,47.71,7,13.46,17,15.6,1,5.88,7,6.42,1,14.29
Week 3,hard sensory toys,22,6,155,5,3.23,4,66.67,2,50,3,50,2,66.67,1,16.67,1,100
Week 3,special needs toys for children,23,1806,41687,179,0.43,473,26.19,1,0.21,122,6.76,1,0.82,17,0.94,1,5.88
Week 3,sensory toys for autistic children 5-7,24,236,4674,78,1.67,75,31.78,3,4,14,5.93,1,7.14,5,2.12,1,20
Week 3,visual stimulation toys autism,25,104,1969,61,3.1,43,41.35,3,6.98,11,10.58,1,9.09,3,2.88,1,33.33
Week 3,oodles of noodles fidget toy,26,108,2176,115,5.28,32,29.63,1,3.13,10,9.26,1,10,1,0.93,1,100
Week 3,stimming toys for autism kids,27,315,6665,157,2.36,82,26.03,5,6.1,25,7.94,3,12,2,0.63,0,0
Week 3,down syndrome toys,28,217,4689,109,2.32,59,27.19,1,1.69,21,9.68,1,4.76,5,2.3,1,20
Week 3,stretchy strings,29,57,1459,72,4.93,27,47.37,2,7.41,11,19.3,1,9.09,6,10.53,1,16.67
Week 3,autism toy,30,235,5783,96,1.66,77,32.77,1,1.3,21,8.94,1,4.76,2,0.85,1,50
Week 3,sensory noodles,31,216,5661,84,1.48,105,48.61,1,0.95,39,18.06,1,2.56,13,6.02,1,7.69
Week 3,disabled products for adults,32,2368,53708,342,0.64,575,24.28,6,1.04,161,6.8,2,1.24,22,0.93,0,0
Week 3,sensory toys for kids 5-7autistic,33,120,2223,37,1.66,14,11.67,2,14.29,5,4.17,1,20,2,1.67,1,50
Week 3,stretchy strings fidget toys,34,317,7081,64,0.9,158,49.84,1,0.63,60,18.93,1,1.67,14,4.42,1,7.14
Week 3,cerebral palsy equipment for kids,35,469,8927,53,0.59,130,27.72,1,0.77,34,7.25,1,2.94,2,0.43,1,50
Week 3,braille toys for blind children,36,69,1581,15,0.95,18,26.09,2,11.11,3,4.35,1,33.33,2,2.9,1,50
Week 3,bumno sensory toys,37,12,228,5,2.19,4,33.33,2,50,1,8.33,1,100,1,8.33,1,100
Week 3,large sensory toys,38,53,1316,33,2.51,10,18.87,1,10,3,5.66,1,33.33,1,1.89,1,100
Week 3,stimming toys adults,39,53,1010,29,2.87,14,26.42,1,7.14,7,13.21,1,14.29,5,9.43,1,20
Week 3,functional play toys for autism,40,42,1374,15,1.09,16,38.1,1,6.25,12,28.57,1,8.33,1,2.38,1,100
Week 3,autism fidget toys for kids,41,23,477,12,2.52,9,39.13,1,11.11,3,13.04,1,33.33,1,4.35,1,100
Week 3,bunmo super sensory textured stretchy strings,42,9,254,12,4.72,5,55.56,1,20,3,33.33,1,33.33,1,11.11,1,100
Week 3,bunmo super sensory stretchy strings 6pk,43,7,343,11,3.21,5,71.43,1,20,5,71.43,1,20,4,57.14,1,25
Week 3,rubber toys for kids with autism,44,12,228,10,4.39,11,91.67,1,9.09,7,58.33,1,14.29,7,58.33,1,14.29
Week 3,rubber worms for kids,45,26,741,10,1.35,15,57.69,1,6.67,8,30.77,1,12.5,5,19.23,1,20
Week 3,bunmo super sensory stretchy strings,46,3,180,6,3.33,3,100,1,33.33,2,66.67,1,50,1,33.33,1,100
Week 3,oodles of noodles fidget,47,7,174,6,3.45,3,42.86,1,33.33,1,14.29,1,100,1,14.29,1,100
Week 3,juguetes de goma sensoriales,48,6,114,5,4.39,4,66.67,1,25,2,33.33,1,50,1,16.67,1,100
Week 3,autism toddler toys,49,14,302,4,1.32,5,35.71,1,20,3,21.43,1,33.33,1,7.14,1,100
Week 3,toys phsically disabled kids,50,4,76,4,5.26,3,75,1,33.33,2,50,1,50,2,50,1,50
Week 3,sensory toys for epilepsy,51,4,76,3,3.95,1,25,1,100,1,25,1,100,1,25,1,100
Week 3,stickable non stick for toys special meeds,52,3,57,3,5.26,1,33.33,1,100,1,33.33,1,100,1,33.33,1,100
Week 3,stretchy baby toy,53,3,57,3,5.26,2,66.67,1,50,2,66.67,1,50,1,33.33,1,100
Week 3,fidget toys adult down syndrome,54,5,95,2,2.11,4,80,1,25,2,40,1,50,2,40,1,50
Week 3,learning toys for kids with autism,55,41,1074,2,0.19,47,114.63,1,2.13,3,7.32,1,33.33,2,4.88,1,50
Week 3,sensory stretchy strings fast delivery,56,1,60,2,3.33,1,100,1,100,1,100,1,100,1,100,1,100
Week 3,sensroy toys,57,3,139,2,1.44,1,33.33,1,100,1,33.33,1,100,1,33.33,1,100
Week 3,stretchy apple and worms,58,1,60,2,3.33,1,100,1,100,1,100,1,100,1,100,1,100
Week 3,toy for nonverbal boys autism,59,2,120,2,1.67,2,100,1,50,1,50,1,100,1,50,1,100
Week 3,toys for teens with autism spectrum,60,12,304,2,0.66,6,50,1,16.67,2,16.67,1,50,1,8.33,1,100
Week 3,autism sesory silicon,61,1,60,1,1.67,1,100,1,100,1,100,1,100,1,100,1,100
Week 3,bunmo sensory,62,1,48,1,2.08,1,100,1,100,1,100,1,100,1,100,1,100
Week 3,bunmo super sensory stretch strings,63,1,48,1,2.08,1,100,1,100,1,100,1,100,1,100,1,100
Week 3,bunmo textured stretchy strings 6pk | calming & fun monkey noodles | super sensory stretchy worms for stress relief & sbunmo textured stretchy strings 6pk | calming & fun monkey noodles | super sensory stretchy worms for stress relief & stimulation | popular autism toystimulation | popular autism toys,64,1,48,1,2.08,1,100,1,100,1,100,1,100,1,100,1,100
Week 3,calm stretch,65,1,60,1,1.67,1,100,1,100,1,100,1,100,1,100,1,100
Week 3,fidget toys for thumb suckers,66,18,342,1,0.29,12,66.67,1,8.33,2,11.11,1,50,2,11.11,1,50
Week 3,large sensory gooy,67,1,19,1,5.26,1,100,1,100,1,100,1,100,1,100,1,100
Week 3,mouth sensory toys for toddlers 1-3,68,45,1112,1,0.09,17,37.78,1,5.88,9,20,1,11.11,5,11.11,1,20
Week 3,noodle autism,69,1,19,1,5.26,1,100,1,100,1,100,1,100,1,100,1,100
Week 3,sensory fun toys toddlers,70,7,133,1,0.75,3,42.86,1,33.33,1,14.29,1,100,1,14.29,1,100
Week 3,sensory grip toys,71,3,98,1,1.02,2,66.67,1,50,1,33.33,1,100,1,33.33,1,100
Week 3,stretchy stick,72,2,79,1,1.27,1,50,1,100,1,50,1,100,1,50,1,100
Week 3,stretchy toys,73,2137,48000,485,1.01,700,32.76,2,0.29,161,7.53,1,0.62,36,1.68,0,0
Week 3,stretch toys,74,502,13023,218,1.67,139,27.69,2,1.44,17,3.39,2,11.76,5,1,0,0
Week 3,bunmo sensory toys,75,146,3663,137,3.74,79,54.11,4,5.06,33,22.6,2,6.06,16,10.96,0,0
Week 3,sensory toys for toddlers 1-3 autism,76,144,2905,74,2.55,54,37.5,4,7.41,22,15.28,2,9.09,3,2.08,0,0
Week 3,stretch toy,77,288,6130,128,2.09,79,27.43,2,2.53,11,3.82,2,18.18,3,1.04,0,0
Week 3,sensory chew toys,78,1523,34072,271,0.8,518,34.01,5,0.97,186,12.21,1,0.54,54,3.55,0,0
Week 3,stretchy fidget toy,79,537,12390,361,2.91,211,39.29,1,0.47,75,13.97,1,1.33,24,4.47,0,0
Week 3,toys for disabled children,80,96,2013,25,1.24,17,17.71,3,17.65,5,5.21,2,40,1,1.04,0,0
Week 3,sensory toys for autistic adults,81,457,10133,242,2.39,118,25.82,4,3.39,36,7.88,1,2.78,4,0.88,0,0
Week 3,sensory strings,82,65,1657,54,3.26,30,46.15,2,6.67,17,26.15,2,11.76,4,6.15,0,0
Week 3,specialkids.company,83,448,13706,301,2.2,83,18.53,2,2.41,9,2.01,1,11.11,1,0.22,0,0
Week 3,sensory items,84,737,24310,323,1.33,231,31.34,1,0.43,86,11.67,1,1.16,14,1.9,0,0
Week 3,z vibe,85,826,19931,283,1.42,289,34.99,2,0.69,83,10.05,1,1.2,21,2.54,0,0
Week 3,wiggle worm sensory toy,86,11,209,9,4.31,4,36.36,2,50,3,27.27,2,66.67,0,0,0,
Week 3,bunmo stretchy,87,5,178,7,3.93,2,40,2,100,2,40,2,100,0,0,0,
Week 3,sensory toys bunmo,88,6,142,6,4.23,6,100,2,33.33,3,50,2,66.67,1,16.67,0,0
Week 3,oral sensory toys,89,491,11517,186,1.62,156,31.77,3,1.92,33,6.72,1,3.03,9,1.83,0,0
Week 3,social emotional toys,90,634,16691,143,0.86,240,37.85,3,1.25,69,10.88,1,1.45,11,1.74,0,0
Week 3,sensory chair,91,1344,30113,193,0.64,320,23.81,1,0.31,61,4.54,1,1.64,6,0.45,0,0
Week 3,autism sensory,92,656,14461,192,1.33,168,25.61,1,0.6,51,7.77,1,1.96,8,1.22,0,0
Week 3,stimming toys for autism adults,93,321,6980,148,2.12,109,33.96,2,1.83,17,5.3,1,5.88,3,0.93,0,0
Week 3,occupational therapy toys,94,3287,75657,147,0.19,1078,32.8,2,0.19,388,11.8,1,0.26,53,1.61,0,0
Week 3,noodle fidget toy,95,170,3816,104,2.73,54,31.76,3,5.56,22,12.94,1,4.55,8,4.71,0,0
Week 3,autism sensory toys for kids 5-7,96,278,6352,144,2.27,85,30.58,1,1.18,21,7.55,1,4.76,5,1.8,0,0
Week 3,proprioceptive toys,97,178,3973,106,2.67,30,16.85,2,6.67,11,6.18,1,9.09,0,0,0,
Week 3,fidget toys for toddlers 3-5,98,357,7256,74,1.02,125,35.01,2,1.6,38,10.64,1,2.63,11,3.08,0,0
Week 3,textured monkey noodles,99,35,916,35,3.82,28,80,3,10.71,12,34.29,1,8.33,3,8.57,0,0
Week 3,baby rope toy,100,45,1013,25,2.47,14,31.11,3,21.43,3,6.67,1,33.33,0,0,0,
Week 2,sensory toys,1,36773,873907,15058,1.72,9930,27,103,1.04,3162,8.6,46,1.45,491,1.34,9,1.83
Week 2,sensory toys for autistic children,2,23929,532805,3471,0.65,8000,33.43,49,0.61,2313,9.67,22,0.95,366,1.53,5,1.37
Week 2,autism sensory toys,3,6764,144944,2406,1.66,1859,27.48,19,1.02,557,8.23,6,1.08,88,1.3,1,1.14
Week 2,sensory toys for kids 5-7,4,6311,137064,1499,1.09,1799,28.51,17,0.94,527,8.35,9,1.71,87,1.38,1,1.15
Week 2,fidget toys adults,5,77107,1678439,2148,0.13,25123,32.58,15,0.06,4583,5.94,6,0.13,943,1.22,1,0.11
Week 2,autism sensory products,6,3718,78770,1522,1.93,1057,28.43,10,0.95,301,8.1,6,1.99,24,0.65,2,8.33
Week 2,autistic toys for boys 5-7,7,1061,22604,484,2.14,314,29.59,7,2.23,89,8.39,6,6.74,16,1.51,2,12.5
Week 2,bunmo textured stretchy strings,8,5,155,5,3.23,5,100,4,80,4,80,4,100,3,60,3,100
Week 2,autism toys,9,3518,78903,814,1.03,854,24.28,5,0.59,235,6.68,3,1.28,30,0.85,2,6.67
Week 2,proprioceptive toys,10,194,4086,80,1.96,50,25.77,3,6,14,7.22,3,21.43,4,2.06,3,75
Week 2,bunmo sensory toys,11,147,4052,117,2.89,76,51.7,5,6.58,37,25.17,5,13.51,13,8.84,2,15.38
Week 2,stretchy string,12,642,15222,493,3.24,264,41.12,12,4.55,103,16.04,4,3.88,24,3.74,1,4.17
Week 2,stretchy toys,13,2006,45080,580,1.29,657,32.75,6,0.91,142,7.08,4,2.82,33,1.65,1,3.03
Week 2,sensory strings,14,65,1466,39,2.66,21,32.31,6,28.57,8,12.31,2,25,4,6.15,2,50
Week 2,special needs toys for children,15,2162,49012,150,0.31,553,25.58,2,0.36,160,7.4,2,1.25,22,1.02,2,9.09
Week 2,sensory toys squishy,16,94,1949,50,2.57,27,28.72,3,11.11,12,12.77,2,16.67,2,2.13,2,100
Week 2,calm corner items,17,474,12476,86,0.69,227,47.89,4,1.76,100,21.1,4,4,13,2.74,1,7.69
Week 2,toys for autism,18,430,10536,207,1.96,121,28.14,3,2.48,42,9.77,3,7.14,16,3.72,1,6.25
Week 2,sensory toys for autism,19,154,3566,72,2.02,49,31.82,5,10.2,20,12.99,3,15,2,1.3,1,50
Week 2,sensory chew toys,20,1473,31967,267,0.84,442,30.01,4,0.9,140,9.5,2,1.43,37,2.51,1,2.7
Week 2,occupational therapy toys,21,3575,81828,218,0.27,1047,29.29,3,0.29,410,11.47,2,0.49,55,1.54,1,1.82
Week 2,bunmo,22,127,3368,94,2.79,99,77.95,6,6.06,25,19.69,2,8,5,3.94,1,20
Week 2,sensory items,23,785,26334,332,1.26,241,30.7,4,1.66,84,10.7,4,4.76,16,2.04,0,0
Week 2,stretchy fidget toy,24,481,11195,394,3.52,196,40.75,3,1.53,67,13.93,1,1.49,20,4.16,1,5
Week 2,sensory stretchy toys,25,32,858,40,4.66,13,40.63,4,30.77,4,12.5,2,50,1,3.13,1,100
Week 2,calming toys for kids,26,1368,34062,307,0.9,522,38.16,3,0.57,184,13.45,1,0.54,32,2.34,1,3.13
Week 2,fidgets for preschoolers,27,99,3121,23,0.74,48,48.48,2,4.17,22,22.22,2,9.09,3,3.03,1,33.33
Week 2,stim noodles,28,2,78,2,2.56,4,200,2,50,2,100,2,100,1,50,1,100
Week 2,stimming toys,29,229,5550,108,1.95,68,29.69,3,4.41,17,7.42,1,5.88,2,0.87,1,50
